"Image Name","PID","Session Name","Session#","Mem Usage"
"SkypeApp.exe","2644","Console","8","32,560 K"
"ctfmon.exe","2916","Console","8","17,392 K"
"MSASCuiL.exe","45524","Console","8","8,280 K"
"RtkNGUI64.exe","46544","Console","8","12,584 K"
"RuntimeBroker.exe","3528","Console","8","9,892 K"
"AvastUI.exe","10204","Console","8","64,976 K"
"OneDrive.exe","22848","Console","8","46,068 K"
"SettingSyncHost.exe","33720","Console","8","3,460 K"
"Skype.exe","33640","Console","8","66,300 K"
"MSOSYNC.EXE","45456","Console","8","11,788 K"
"WebCompanion.exe","21336","Console","8","65,764 K"
"uTorrent.exe","40068","Console","8","37,516 K"
"utorrentie.exe","10784","Console","8","24,816 K"
"YCMMirage.exe","40756","Console","8","7,728 K"
"YouCamTray.exe","46440","Console","8","10,404 K"
"utorrentie.exe","41256","Console","8","24,808 K"
"acrotray.exe","43868","Console","8","6,872 K"
"jusched.exe","23768","Console","8","6,676 K"
"svchost.exe","28876","Console","8","16,364 K"
"dllhost.exe","9112","Console","8","11,068 K"
"RuntimeBroker.exe","18804","Console","8","28,068 K"
"unsecapp.exe","40216","Services","0","6,124 K"
"ApplicationFrameHost.exe","22620","Console","8","26,236 K"
"UCAgent.exe","20044","Console","8","9,864 K"
"WinStore.App.exe","9884","Console","8","71,840 K"
"RuntimeBroker.exe","17588","Console","8","17,408 K"
"MicrosoftEdge.exe","34804","Console","8","49,816 K"
"browser_broker.exe","28684","Console","8","8,376 K"
"RuntimeBroker.exe","45244","Console","8","6,380 K"
"MicrosoftEdgeCP.exe","42352","Console","8","19,372 K"
"MicrosoftEdgeCP.exe","23432","Console","8","21,248 K"
"SystemSettings.exe","17592","Console","8","48,380 K"
"Video.UI.exe","17680","Console","8","45,800 K"
"chrome.exe","33124","Console","8","104,600 K"
"chrome.exe","1516","Console","8","7,592 K"
"chrome.exe","26816","Console","8","8,224 K"
"chrome.exe","42048","Console","8","56,848 K"
"chrome.exe","11260","Console","8","27,648 K"
"sublime_text.exe","23616","Console","8","63,084 K"
"plugin_host.exe","26468","Console","8","17,380 K"
"UCBrowser.exe","12140","Console","8","204,232 K"
"UCBrowser.exe","35324","Console","8","6,616 K"
"UCBrowser.exe","40864","Console","8","20,696 K"
"UCBrowser.exe","11600","Console","8","92,908 K"
"UCBrowser.exe","46436","Console","8","88,236 K"
"UCBrowser.exe","45080","Console","8","235,160 K"
"UCBrowser.exe","39124","Console","8","55,100 K"
"audiodg.exe","35724","Services","0","22,740 K"
"UCBrowser.exe","16100","Console","8","169,692 K"
"RuntimeBroker.exe","9656","Console","8","8,868 K"
"pythonw.exe","19604","Console","8","17,124 K"
"cmd.exe","36184","Console","8","3,508 K"
"conhost.exe","26764","Console","8","12,488 K"
"chrome.exe","29872","Console","8","46,412 K"
"UCBrowser.exe","23408","Console","8","155,980 K"
"UCBrowser.exe","2848","Console","8","55,520 K"
"UCBrowser.exe","11736","Console","8","49,172 K"
"UCBrowser.exe","1980","Console","8","41,144 K"
"pythonw.exe","10492","Console","8","16,924 K"
"notepad++.exe","21168","Console","8","20,744 K"
"UCBrowser.exe","28244","Console","8","74,772 K"
"UCBrowser.exe","34776","Console","8","105,348 K"
"UCBrowser.exe","14896","Console","8","316,864 K"
"svchost.exe","34276","Services","0","5,760 K"
"chrome.exe","42536","Console","8","23,196 K"
"UCBrowser.exe","25884","Console","8","107,952 K"
"python.exe","23056","Console","8","25,896 K"
